Name,BestArchetypePvE,BestArchetypePvP,PvEScore,PvPOffenseScore,PvPDefScore,DemoPrelimScore,DemoBossScore,Pros,Cons,Notes
"Sandalphon",YR,P,3,1,1,0,0,"Decent bulk.
Somewhat decent AGI.
No weakness.
Has Auto-Sukuka which is an incredible support skill.
He is the cheapest way to get an auto-buff in your team.","No offensive ability and even if panel 3, it's not much to note.
Does not innately have other noteworthy support skills.","Only has a 3 PvE rating due to how useful he is early on."
"Sarasvati",YP,Y,2,1,1,0,0,"Decent healer in Yellow due to High MAG stat and High VIT
Not a bad pick for Ice Democalypse due to limited choices plus Back Attack in Purple.","Silent Prayer is a double-edged sword when she has the Barrier skill.
2 crippling weakness to fire and dark.
Somewhat outclassed by other healers like Pazuzu but at least isn't prone to crits.
Below Average AGI.","-"
"Skadi",P,P,2,2,2,0,0,"More than decent innate Ailment kit (Mahamakajam, Insanity in Purple, Panel 3, high Luck).
One of the best unit to use for Celestial Gui Xian fight.
Needs to be paired with Rama.","Low AGI for an ailment team.
Weak skillset for offense despite having a nice mag stat of 206.","-"
"Sleipnir",RP,RP,3,2,2,0,0,"Very good non-unique skills (Speedster and good light attacks).
Decent AGI and a Panel 3 which increases his speed.","Fenrir and Yatagarasu are better Speedster users.","-"
"Sphinx",TY,TP,2,2,2,0,0,"High MAG.
Mahamaon is a decent spell.
Triggers passives that are strong when going second:
Tetraka Shift has some (limited) use in PVP and early PVE.
in Purple, he has Auto-Rakuka and excellent skill for slow and defensive team.
Cheapest Mediarahan user in Yellow.","Subpar bulk.
2 weaknesses.
No unique support skill to complement his role in a PVP team.","-"
"Succubus",TR,T,2,1,1,0,0,"High MAG stat of 204
Role is to charm the opposition and hit them with a hard hitting Bufudyne in combination with her passive Deadly Charm.","Too slow to be a viable ailment demon in PvP.
Average luck stat
No stand out colors that really assist her role.","-"
"Throne",TR,R,2,2,2,0,0,"Good AGI stat of 163.
This AGI combined with his race being Divine means, with Speedster transferred, he becomes a decent candidate for the powerful Archangels PvP Team.
Innate Void Dark Zones makes him a good candidate for Dmg Panel Immunity
Thus making him a great Aura Gate demon at least early on either on team 1 or 2.","Superior (though more expensive) candidates for Archangels Teams exist.
Barely passable MAG stat with full investment.
No innate pierce and no innate Single Target skill.
Other options for demons that can act as double null panel/zones.","-"
"Titan",RP,P,2,2,1,0,0,"Good defensive stats with High VIT/STR, which work in conjunction with Muscle Punch.
Has Tetraka Shift, which works with his unique passive Unyielding Phalanx.
Physical Mirrors also work with his unique passive.
No weaknesses","Relies on Tetrakarn to take reduce damage as he has no innate repel physical.
This makes his niche not as great for PvP as Tetrakarn isn't spammable.
Walled by demons that Null/Drain/Repel Physical without having Phys Pierce (weak)","-"
"Titania",P,P,3,2,2,0,0,"Top tier MAG
Should be considered for some sections AG2 and any Democalypse other than physical.
Innate Back Attack is useful for both AG2 and Democ","One of the lowest VIT stats in game and slow to boot. Not a good combination.
No single target skill and Makajamaon is a bad skill on her.
Isn't too great outside of Aura Gate and Democalypse","-"
"Tlaltecuhtli",CP,CY,2,2,2,0,0,"Low enough AGI, that she functions well in slow teams.
Decent MAG stat.
Innate Recarmdra in Yellow gives her a niche due to the skills rarity.
Earth Sacrifice gives a free Tetrakarn upon death and buffs all stats for one turn. Working well with Recarmdra","Doesn't take hits well as other common Recarmdra users: outclassed by Hecatoncheires another 4*.
If she dies during the opponent's turn, Earth Sacrifice buffs will be gone once your own turn starts.
Ice weakness.
Low AGI forces her into slow teams which makes her low VIT a problem.","-"
"Tsukuyomi",RP,R,2,2,2,0,0,"Strong mage for early to mid PvE
Lunar Blessing is a great unique allowing him to use any skill for 1 MP less; opening up tons of options.
Red has a 3 MP Mudoon due to his unique; meaning no matter what you can cast it.
2 Null and 2 resists.","Weak to Phys, forcing you to transfer him Resist Phys.
No innate AOE, and his innate attacks are low tier. It mean Lunar Blessing is under-exploited unless you transfer a stronger skill.
On top of that, he has no innate passive that boosts damage.
Low VIT and AGI.","-"
"White Rider",T,T,3,2,2,0,0,"High MAG stat and above average AGI making him a good mage.
His unique God's Bow has a 50% chance of Mortal and be used twice.
This is extremely powerful in PvE against Boss battles, as the adds are rarely immune to Mortal. Closing the app allows you to reset the battle in Aura Gate and avoid you to lose Stamina in other Quest Modes. It means the 50% becomes a 100% with enough resets.","You can't reset PvP battles making God's Bow very unreliable.
Needs Light Pierce (weak) or Panel 3 against Light-immuned demons
Relies heavily on Ziodyne after God's Bow uses are up... Making Light Pierce (weak) feel like a wasted slot.
Resetting battles over and over to get good rolls can be tiring.","Not good for Light Democalypse as God's Bow is 2 uses."
"Wu Kong",R,R,3,2,2,0,0,"Top-tier physical demon for a 4* demon having 235 STR.
Has access to a single target and aoe physical skill freeing up his transfer slots for skills that boost his damage or accuracy.
Great panels that each benefit him
Is an excellent choice for the popular Hell Gongen team as he needs pierce for full potential.
Good panels","Low AGI forces him to run Speedster in PvP for full efficiency and overall drags down team speed.
No innate pierce, 2 weaknesses and frail.
Zaou-Gongen a demon part of the Hell Gongen core, is already slow himself.","-"
"Yatagarasu",R,RP,4,3,3,0,0,"Can provide multiple roles such as Dodge, Ailment and even Offensive but primarily is best used as support.
Has top tier speed stat of 237 and above average STR
Innate Speedster and innate Auto-Sukunda, which helps with his role as the teams, he's best in are frail.
Nice panels","Middling luck stat, which hinders his role as ailment user.
No physical pierce so offensive capabilities are hindered without Zaou-Gongen.","-"
"Ym",CYP,CY,3,2,2,0,0,"Judgement of Nahar makes him an excellent pick for ice Democalypse as he casts the equivalent of a Mabufudyne every 2nd turn.
Relevantly high mag stat of 199 and innate Ice Boost.","Expensive Fusion.
No innate pierce.
Not to good outside of Democalypse.","-"
"Yurlungur",T,T,2,2,2,0,0,"Great VIT Stat/Decent AGI
Good candidate for Muscle Punch when he isn't supporting.
Has two innate support skills
A tanky danger noodle","Bad offensive stats outside of usingMuscle Punch.
Below average luk making him not the best at hitting his Mashibaboo.
Two weaknesses and both are bad ones to have so he'll need to cover them unless paired with Orcus.
Only one decent awaken skill that being Resist Fire in Teal.","Best Gummy Worm.
For an incredibly in-depth analysis of Yurlungur, please refer to this legendary article"
"Zhong Kui",P,P,2,4,4,0,0,"Has access to Intimidating Stance a very good skill in PvP. Only niche in PvE.
Auto-Taruka is another excellent skill for PvP.
Top tier STR/LU
Surprisingly versatile, he can be a pure attacker, Dodgy, Use ailments, ailment cleanser, all auto-skills.
More information on this page Intimidating Stance Teams and Zhong in general.
Great for Phys Democalypse","Not great for PvE
Walled by many demons if you choose him for damage without pierce.
Not the best accuracy.","-"
